GREP i bandpass median diff
GREP 148 0.000243 0.000226 0.000017
GREP 149 0.000225 0.000225 0.000000
GREP 150 0.000226 0.000217 0.000009
GREP 151 0.000218 0.000203 0.000015
GREP 152 0.000203 0.000185 0.000018
GREP 153 0.000186 0.000151 0.000035
GREP 154 0.000151 0.000113 0.000038
GREP 155 0.000113 0.000084 0.000030
GREP 156 0.000084 0.000051 0.000033
GREP 157 0.000051 0.000032 0.000019
GREP 158 0.000032 0.000018 0.000013
GREP 159 0.000019 0.000011 0.000008
GREP 160 0.000011 0.000006 0.000005
GREP 161 0.000006 0.000003 0.000003
GREP 162 0.000003 0.000002 0.000002
GREP 163 0.000002 0.000001 0.000001
GREP 164 0.000001 0.000001 0.000000
GREP 165 0.000001 0.000001 0.000000
GREP 166 0.000001 0.000001 0.000000
GREP 167 0.000001 0.000000 0.000000
GREP 168 0.000000 0.000000 0.000000
GREP 169 0.000000 0.000000 0.000000
GREP 170 0.000000 0.000000 0.000000
GREP 171 0.000000 0.000000 0.000000
GREP 172 0.000000 0.000000 -0.000000
GREP 173 0.000000 0.000000 -0.000000
GREP 174 0.000000 0.000000 -0.000000
GREP 175 0.000000 0.000000 -0.000000
GREP 176 0.000000 0.000000 -0.000000
GREP 177 0.000000 0.000000 0.000000
GREP 178 0.000000 0.000000 0.000000
GREP 179 0.000000 0.000000 0.000000
GREP 180 0.000000 0.000000 0.000000
GREP 181 0.000000 0.000000 0.000000
GREP 182 0.000000 0.000000 0.000000
GREP 183 0.000000 0.000000 0.000000
GREP 184 0.000000 0.000000 0.000000
GREP 185 0.000000 0.000000 0.000000
GREP 186 0.000000 0.000000 0.000000
GREP 187 0.000000 0.000000 -0.000000
GREP 188 0.000000 0.000000 -0.000000
GREP 189 0.000000 0.000000 0.000000
GREP 190 0.000000 0.000000 -0.000000
GREP 191 0.000000 0.000000 -0.000000
GREP 192 0.000000 0.000000 -0.000000
GREP 193 0.000000 0.000000 -0.000000
GREP 194 0.000000 0.000000 -0.000000
GREP 195 0.000000 0.000000 -0.000000
GREP 196 0.000000 0.000000 0.000000
GREP 197 0.000000 0.000000 0.000000
GREP 198 0.000000 0.000000 0.000000
GREP 199 0.000000 0.000000 -0.000000
GREP 200 0.000000 0.000000 -0.000000
GREP 201 0.000000 0.000000 0.000000
GREP 202 0.000000 0.000000 0.000000
GREP 203 0.000000 0.000000 0.000000
GREP 204 0.000000 0.000000 0.000000
GREP 205 0.000000 0.000000 0.000000
GREP 206 0.000000 0.000000 -0.000000
GREP 207 0.000000 0.000000 0.000000
GREP 208 0.000000 0.000000 0.000000
GREP 209 0.000000 0.000000 0.000000
GREP 210 0.000000 0.000000 0.000000
GREP 211 0.000000 0.000000 0.000000
GREP 212 0.000000 0.000000 -0.000000
GREP 213 0.000000 0.000000 -0.000000
GREP 214 0.000000 0.000000 -0.000000
GREP 215 0.000000 0.000000 0.000000
GREP 216 0.000000 0.000000 0.000000
GREP 217 0.000000 0.000000 0.000000
GREP 218 0.000000 0.000000 -0.000000
GREP 219 0.000000 0.000000 0.000000
GREP 220 0.000000 0.000000 -0.000000
GREP 221 0.000000 0.000000 -0.000000
GREP 222 0.000000 0.000000 0.000000
GREP 223 0.000000 0.000000 0.000000
GREP 224 0.000000 0.000000 0.000000
GREP 225 0.000000 0.000000 0.000000
GREP 226 0.000000 0.000000 -0.000000
GREP 227 0.000000 0.000000 0.000000
GREP 228 0.000000 0.000000 0.000000
GREP 229 0.000000 0.000000 -0.000000
GREP 230 0.000000 0.000000 -0.000000
GREP 231 0.000000 0.000000 0.000000
GREP 232 0.000000 0.000000 0.000000
GREP 233 0.000000 0.000000 0.000000
GREP 234 0.000000 0.000000 0.000000
GREP 235 0.000000 0.000000 -0.000000
GREP 236 0.000000 0.000000 0.000000
GREP 237 0.000000 0.000000 -0.000000
GREP 238 0.000000 0.000000 -0.000000
GREP 239 0.000000 0.000000 0.000000
GREP 240 0.000000 0.000000 0.000000
GREP 241 0.000000 0.000000 -0.000000
GREP 242 0.000000 0.000000 -0.000000
GREP 243 0.000000 0.000000 -0.000000
GREP 244 0.000000 0.000000 -0.000000
GREP 245 0.000000 0.000000 -0.000000
GREP 246 0.000000 0.000000 -0.000000
GREP 247 0.000000 0.000000 0.000000
GREP 248 0.000000 0.000000 -0.000000
GREP 249 0.000000 0.000000 0.000000
GREP 250 0.000000 0.000000 0.000000
GREP 251 0.000000 0.000000 0.000000
GREP 252 0.000000 0.000000 -0.000000
GREP 253 0.000000 0.000000 -0.000000
GREP 254 0.000000 0.000000 0.000000
